,Unnamed: 0,update,gender,region,age,RegionAgeRank,teamName,score,avgAgeScore,ageAdjScore,DCFCflag,SOCSflag,WESTflag,Nationalsflag,Liverpoolflag,Vardarflag,Wolvesflag,ROFCflag,MLSNextflag,MIDWESTflag,JAGSflag,MICHUnitedflag,WAZAflag,PATOS_MAGICflag,MI_STARS_ELITEflag,TROY_SCflag,club
0,0,Last updated: Tue 28 Dec 2021 5:19 AM PST,Boys,Michigan,2003,1,MICHIGAN WOLVES MLS NEXT [41],42.58,38.51191489361701,4.068085106382988,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,Wolves
1,1,Last updated: Tue 28 Dec 2021 5:19 AM PST,Boys,Michigan,2003,2,MIDWEST UNITED MLS NEXT [44],42.53,38.51191489361701,4.0180851063829905,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,MIDWEST
2,2,Last updated: Tue 28 Dec 2021 5:19 AM PST,Boys,Michigan,2003,3,VARDAR MLS NEXT [52],42.36,38.51191489361701,3.848085106382989,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,Vardar
3,3,Last updated: Tue 28 Dec 2021 5:19 AM PST,Boys,Michigan,2003,4,KINGDOM SC RED MI [60],42.25,38.51191489361701,3.7380851063829894,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Other
4,4,Last updated: Tue 28 Dec 2021 5:19 AM PST,Boys,Michigan,2003,5,NATIONALS UNION BLACK MI WC2 [64],42.17,38.51191489361701,3.658085106382991,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,Nationals
5,5,Last updated: Tue 28 Dec 2021 5:19 AM PST,Boys,Michigan,2003,6,VARDAR SC ECNL [159],41.1,38.51191489361701,2.588085106382991,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,Vardar
6,6,Last updated: Tue 28 Dec 2021 5:19 AM PST,Boys,Michigan,2003,7,MICHIGAN RUSH LANSING [205],40.78,38.51191489361701,2.2680851063829905,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Other
7,7,Last updated: Tue 28 Dec 2021 5:19 AM PST,Boys,Michigan,2003,8,MICHIGAN JAGUARS NOVI GREEN [253],40.53,38.51191489361701,2.0180851063829905,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,JAGS
8,8,Last updated: Tue 28 Dec 2021 5:19 AM PST,Boys,Michigan,2003,9,CANTON SC WEST MAROON [266],40.47,38.51191489361701,1.9580851063829883,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Other
9,9,Last updated: Tue 28 Dec 2021 5:19 AM PST,Boys,Michigan,2003,10,MICHIGAN WOLVES ECNL [289],40.32,38.51191489361701,1.8080851063829897,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,Wolves
10,10,Last updated: Tue 28 Dec 2021 5:19 AM PST,Boys,Michigan,2003,11,MIDWEST UNITED FC ROYAL [291],40.3,38.51191489361701,1.7880851063829866,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,MIDWEST
11,11,Last updated: Tue 28 Dec 2021 5:19 AM PST,Boys,Michigan,2003,12,TKO PREMIER SC BLUE [300],40.25,38.51191489361701,1.7380851063829894,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Other
12,12,Last updated: Tue 28 Dec 2021 5:19 AM PST,Boys,Michigan,2003,13,TRAVERSE BAY AREA YS NORTH STORM [317],40.15,38.51191489361701,1.638085106382988,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Other
13,13,Last updated: Tue 28 Dec 2021 5:19 AM PST,Boys,Michigan,2003,14,LIVERPOOL FC IA MICHIGAN ANN ARBOR B ACADEMY [389],39.79,38.51191489361701,1.2780851063829886,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,Liverpool
14,14,Last updated: Tue 28 Dec 2021 5:19 AM PST,Boys,Michigan,2003,15,MICHIGAN TIGERS FC GOLD [409],39.72,38.51191489361701,1.2080851063829883,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Other
15,15,Last updated: Tue 28 Dec 2021 5:19 AM PST,Boys,Michigan,2003,16,MICHIGAN FIRE JUNIORS NAVY [445],39.61,38.51191489361701,1.0980851063829888,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Other
16,16,Last updated: Tue 28 Dec 2021 5:19 AM PST,Boys,Michigan,2003,17,MICHIGAN RUSH DOWNRIVER [501],39.42,38.51191489361701,0.9080851063829911,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Other
17,17,Last updated: Tue 28 Dec 2021 5:19 AM PST,Boys,Michigan,2003,18,UNITED FC MICHIGAN GR [598],39.1,38.51191489361701,0.5880851063829908,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,MICHUnited
18,18,Last updated: Tue 28 Dec 2021 5:19 AM PST,Boys,Michigan,2003,19,RAPIDS FC GREEN [607],39.07,38.51191489361701,0.5580851063829897,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Other
